ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
45920,Mohamed Haraga,M,NA,NA,NA,Egypt,EGY,1948 Summer,1948,Summer,London,Water Polo,Water Polo Men's Water Polo,NA
45921,Syamsul Anwar Harahap,M,23,171,64,Indonesia,INA,1976 Summer,1976,Summer,Montreal,Boxing,Boxing Men's Light-Welterweight,NA
45922,Balzs Hrai,M,25,202,110,Hungary,HUN,2012 Summer,2012,Summer,London,Water Polo,Water Polo Men's Water Polo,NA
45922,Balzs Hrai,M,29,202,110,Hungary,HUN,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Men's Water Polo,NA
45923,Riki Harakawa,M,22,175,72,Japan,JPN,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Men's Football,NA
45924,Ingrid Haralamow-Raimann,F,25,174,73,Switzerland,SUI,1992 Summer,1992,Summer,Barcelona,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",NA
45924,Ingrid Haralamow-Raimann,F,29,174,73,Switzerland,SUI,1996 Summer,1996,Summer,Atlanta,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",NA
45924,Ingrid Haralamow-Raimann,F,29,174,73,Switzerland,SUI,1996 Summer,1996,Summer,Atlanta,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",NA
45924,Ingrid Haralamow-Raimann,F,29,174,73,Switzerland,SUI,1996 Summer,1996,Summer,Atlanta,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Silver
45925,Crown Prince Harald,M,27,186,90,Fram III,NOR,1964 Summer,1964,Summer,Tokyo,Sailing,Sailing Mixed 5.5 metres,NA
45925,Crown Prince Harald,M,31,186,90,Norway,NOR,1968 Summer,1968,Summer,Mexico City,Sailing,Sailing Mixed 5.5 metres,NA
45925,Crown Prince Harald,M,35,186,90,Norway,NOR,1972 Summer,1972,Summer,Munich,Sailing,Sailing Mixed Three Person Keelboat,NA
45926,Erla Dgg Haraldsdttir,F,20,180,68,Iceland,ISL,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 100 metres Breaststroke,NA
45926,Erla Dgg Haraldsdttir,F,20,180,68,Iceland,ISL,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 200 metres Individual Medley,NA
45927,Olaf Harry Haraldsen (Fykerud-),M,24,NA,NA,Norway,NOR,1936 Winter,1936,Winter,Garmisch-Partenkirchen,Speed Skating,Speed Skating Men's 500 metres,NA
45927,Olaf Harry Haraldsen (Fykerud-),M,24,NA,NA,Norway,NOR,1936 Winter,1936,Winter,Garmisch-Partenkirchen,Speed Skating,"Speed Skating Men's 1,500 metres",NA
45927,Olaf Harry Haraldsen (Fykerud-),M,24,NA,NA,Norway,NOR,1936 Summer,1936,Summer,Berlin,Cycling,"Cycling Men's 1,000 metres Time Trial",NA
45928,Katrine Lunde Haraldsen,F,28,181,NA,Norway,NOR,2008 Summer,2008,Summer,Beijing,Handball,Handball Women's Handball,Gold
45928,Katrine Lunde Haraldsen,F,32,181,NA,Norway,NOR,2012 Summer,2012,Summer,London,Handball,Handball Women's Handball,Gold
45929,Marit Haraldsen (-Foss),F,20,NA,NA,Norway,NOR,1960 Winter,1960,Winter,Squaw Valley,Alpine Skiing,Alpine Skiing Women's Downhill,NA
45929,Marit Haraldsen (-Foss),F,20,NA,NA,Norway,NOR,1960 Winter,1960,Winter,Squaw Valley,Alpine Skiing,Alpine Skiing Women's Giant Slalom,NA
45929,Marit Haraldsen (-Foss),F,20,NA,NA,Norway,NOR,1960 Winter,1960,Winter,Squaw Valley,Alpine Skiing,Alpine Skiing Women's Slalom,NA
45930,Clas Oskar Haraldsson,M,25,NA,NA,Sweden,SWE,1948 Winter,1948,Winter,Sankt Moritz,Cross Country Skiing,Cross Country Skiing Men's 18 kilometres,NA
45930,Clas Oskar Haraldsson,M,25,NA,NA,Sweden,SWE,1948 Winter,1948,Winter,Sankt Moritz,Nordic Combined,Nordic Combined Men's Individual,NA
45931,Hrur Haraldsson,M,22,NA,NA,Iceland,ISL,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Men's 100 metres,NA
45931,Hrur Haraldsson,M,22,NA,NA,Iceland,ISL,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Men's 200 metres,NA
45931,Hrur Haraldsson,M,22,NA,NA,Iceland,ISL,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Men's 4 x 100 metres Relay,NA
45932,Jhann Fririk Haraldsson,M,22,176,80,Iceland,ISL,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing,Alpine Skiing Men's Giant Slalom,NA
45932,Jhann Fririk Haraldsson,M,22,176,80,Iceland,ISL,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing,Alpine Skiing Men's Slalom,NA
45933,Kurt Harand,M,26,185,90,Austria,AUT,1984 Winter,1984,Winter,Sarajevo,Ice Hockey,Ice Hockey Men's Ice Hockey,NA
45933,Kurt Harand,M,30,185,90,Austria,AUT,1988 Winter,1988,Winter,Calgary,Ice Hockey,Ice Hockey Men's Ice Hockey,NA
45934,Paul Albert Flix Haranger,M,26,NA,NA,France,FRA,1920 Summer,1920,Summer,Antwerpen,Hockey,Hockey Men's Hockey,NA
45935,Csaba Haranghy,M,32,180,65,Hungary,HUN,1996 Summer,1996,Summer,Atlanta,Sailing,Sailing Mixed Two Person Keelboat,NA
45936,Imre Harangi,M,22,NA,NA,Hungary,HUN,1936 Summer,1936,Summer,Berlin,Boxing,Boxing Men's Lightweight,Gold
45937,Andrs Harangvlgyi (Helmle),M,24,NA,NA,Hungary,HUN,1948 Winter,1948,Winter,Sankt Moritz,Cross Country Skiing,Cross Country Skiing Men's 18 kilometres,NA
45938,Louis Joseph Harant,M,24,173,NA,United States,USA,1920 Summer,1920,Summer,Antwerpen,Shooting,"Shooting Men's Military Pistol, Team",Gold
45938,Louis Joseph Harant,M,24,173,NA,United States,USA,1920 Summer,1920,Summer,Antwerpen,Shooting,"Shooting Men's Military Pistol, 30 metres",NA
45939,Zaki Selim Ibrahim Harari,M,26,NA,NA,Egypt,EGY,1952 Summer,1952,Summer,Helsinki,Basketball,Basketball Men's Basketball,NA
45940,Hisayoshi Harasawa,M,24,191,125,Japan,JPN,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Men's Heavyweight,Silver
45941,Lajos Haraszthy,M,NA,NA,70,Pannonia RC/National RC,HUN,1908 Summer,1908,Summer,London,Rowing,Rowing Men's Coxed Eights,NA
45942,Micha Haratyk,M,24,194,135,Poland,POL,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Shot Put,NA
45943,Bla Hray,M,21,NA,NA,Hungary,HUN,1936 Summer,1936,Summer,Berlin,Hockey,Hockey Men's Hockey,NA
45943,Bla Hray,M,20,NA,NA,Hungary,HUN,1936 Winter,1936,Winter,Garmisch-Partenkirchen,Ice Hockey,Ice Hockey Men's Ice Hockey,NA
45944,Elias Harb,M,45,NA,NA,Lebanon,LIB,1984 Summer,1984,Summer,Los Angeles,Shooting,Shooting Mixed Skeet,NA
45945,Tanios Harb,M,NA,177,72,Lebanon,LIB,1968 Summer,1968,Summer,Mexico City,Shooting,Shooting Mixed Skeet,NA
45946,Simon James Harbaugh,M,30,NA,NA,United States,USA,1904 Summer,1904,Summer,St. Louis,Golf,Golf Men's Individual,NA
45947,"Victoria ""Vicki"" Harber (-Stenerson)",F,28,173,71,Canada,CAN,1984 Summer,1984,Summer,Los Angeles,Rowing,Rowing Women's Coxed Quadruple Sculls,NA
45948,Charles William Harbidge,M,28,NA,NA,Great Britain,GBR,1920 Summer,1920,Summer,Antwerpen,Football,Football Men's Football,NA
45949,"Rudolf Waldemar ""Rudi"" Harbig",M,22,174,62,Germany,GER,1936 Summer,1936,Summer,Berlin,Athletics,Athletics Men's 800 metres,NA
45949,"Rudolf Waldemar ""Rudi"" Harbig",M,22,174,62,Germany,GER,1936 Summer,1936,Summer,Berlin,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze
45950,"Robert E. ""Rob"" Harbison",M,30,172,73,United States,USA,1996 Summer,1996,Summer,Atlanta,Shooting,"Shooting Men's Air Rifle, 10 metres",NA
45950,"Robert E. ""Rob"" Harbison",M,30,172,73,United States,USA,1996 Summer,1996,Summer,Atlanta,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",NA
45951,Alexandra Harbold (Bernhart-),F,27,172,64,United States,USA,1992 Summer,1992,Summer,Barcelona,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",NA
45951,Alexandra Harbold (Bernhart-),F,31,172,64,United States,USA,1996 Summer,1996,Summer,Atlanta,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",NA
45952,Michael Everett Harbold,M,20,183,83,United States,USA,1988 Summer,1988,Summer,Seoul,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",NA
45952,Michael Everett Harbold,M,24,183,83,United States,USA,1992 Summer,1992,Summer,Barcelona,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",NA
45952,Michael Everett Harbold,M,28,183,83,United States,USA,1996 Summer,1996,Summer,Atlanta,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",NA
45953,Kevin Alan Harbut,M,26,180,85,Great Britain,GBR,1998 Winter,1998,Winter,Nagano,Freestyle Skiing,Freestyle Skiing Men's Aerials,NA
45954,Abbes Harchi,M,24,170,72,Morocco,MAR,1960 Summer,1960,Summer,Roma,Fencing,"Fencing Men's Foil, Team",NA
45954,Abbes Harchi,M,24,170,72,Morocco,MAR,1960 Summer,1960,Summer,Roma,Fencing,"Fencing Men's epee, Individual",NA
45954,Abbes Harchi,M,24,170,72,Morocco,MAR,1960 Summer,1960,Summer,Roma,Fencing,"Fencing Men's epee, Team",NA
45955,Kenneth Graham Harcourt,M,18,NA,NA,Great Britain,GBR,1952 Summer,1952,Summer,Helsinki,Gymnastics,Gymnastics Men's Individual All-Around,NA
45955,Kenneth Graham Harcourt,M,18,NA,NA,Great Britain,GBR,1952 Summer,1952,Summer,Helsinki,Gymnastics,Gymnastics Men's Team All-Around,NA
45955,Kenneth Graham Harcourt,M,18,NA,NA,Great Britain,GBR,1952 Summer,1952,Summer,Helsinki,Gymnastics,Gymnastics Men's Floor Exercise,NA
45955,Kenneth Graham Harcourt,M,18,NA,NA,Great Britain,GBR,1952 Summer,1952,Summer,Helsinki,Gymnastics,Gymnastics Men's Horse Vault,NA
45955,Kenneth Graham Harcourt,M,18,NA,NA,Great Britain,GBR,1952 Summer,1952,Summer,Helsinki,Gymnastics,Gymnastics Men's Parallel Bars,NA
45955,Kenneth Graham Harcourt,M,18,NA,NA,Great Britain,GBR,1952 Summer,1952,Summer,Helsinki,Gymnastics,Gymnastics Men's Horizontal Bar,NA
45955,Kenneth Graham Harcourt,M,18,NA,NA,Great Britain,GBR,1952 Summer,1952,Summer,Helsinki,Gymnastics,Gymnastics Men's Rings,NA
45955,Kenneth Graham Harcourt,M,18,NA,NA,Great Britain,GBR,1952 Summer,1952,Summer,Helsinki,Gymnastics,Gymnastics Men's Pommelled Horse,NA
45956,Harold Turner Harcourt,M,23,NA,NA,Canada,CAN,1920 Summer,1920,Summer,Antwerpen,Rowing,Rowing Men's Coxed Fours,NA
45957,Zoltn dm Harcsa,M,19,184,75,Hungary,HUN,2012 Summer,2012,Summer,London,Boxing,Boxing Men's Middleweight,NA
45957,Zoltn dm Harcsa,M,23,184,75,Hungary,HUN,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Men's Middleweight,NA
45958,Zsolt Harczi,M,21,180,72,Hungary,HUN,1988 Summer,1988,Summer,Seoul,Table Tennis,Table Tennis Men's Singles,NA
45959,Jere Johannes Hrd,M,21,185,83,Finland,FIN,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 100 metres Freestyle,NA
45959,Jere Johannes Hrd,M,21,185,83,Finland,FIN,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 100 metres Butterfly,NA
45959,Jere Johannes Hrd,M,21,185,83,Finland,FIN,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 4 x 100 metres Medley Relay,NA
45959,Jere Johannes Hrd,M,25,185,83,Finland,FIN,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 50 metres Freestyle,NA
45959,Jere Johannes Hrd,M,25,185,83,Finland,FIN,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 100 metres Butterfly,NA
45959,Jere Johannes Hrd,M,25,185,83,Finland,FIN,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 4 x 100 metres Medley Relay,NA
45960,Sven Olof Gran Hrd af Segerstad,M,27,187,81,Sweden,SWE,1972 Summer,1972,Summer,Munich,Handball,Handball Men's Handball,NA
45961,Sarah Louise Hardaker,F,24,182,68,Great Britain-1,GBR,2000 Summer,2000,Summer,Sydney,Badminton,Badminton Women's Doubles,NA
45962,Hannah Hardaway,F,23,160,55,United States,USA,2002 Winter,2002,Winter,Salt Lake City,Freestyle Skiing,Freestyle Skiing Women's Moguls,NA
45963,"Anfernee Deon ""Penny"" Hardaway",M,24,200,91,United States,USA,1996 Summer,1996,Summer,Atlanta,Basketball,Basketball Men's Basketball,Gold
45964,"Timothy Duane ""Tim"" Hardaway",M,34,180,88,United States,USA,2000 Summer,2000,Summer,Sydney,Basketball,Basketball Men's Basketball,Gold
45965,Peter Hardcastle,M,22,196,92,Australia,AUS,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Quadruple Sculls,NA
45965,Peter Hardcastle,M,26,196,92,Australia,AUS,2004 Summer,2004,Summer,Athina,Rowing,Rowing Men's Double Sculls,NA
45965,Peter Hardcastle,M,30,196,92,Australia,AUS,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Single Sculls,NA
45966,Sarah Lucy Hardcastle (-Thomas),F,15,183,60,Great Britain,GBR,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Women's 400 metres Freestyle,Silver
45966,Sarah Lucy Hardcastle (-Thomas),F,15,183,60,Great Britain,GBR,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Women's 800 metres Freestyle,Bronze
45966,Sarah Lucy Hardcastle (-Thomas),F,15,183,60,Great Britain,GBR,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Women's 400 metres Individual Medley,NA
45966,Sarah Lucy Hardcastle (-Thomas),F,27,183,60,Great Britain,GBR,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 400 metres Freestyle,NA
45966,Sarah Lucy Hardcastle (-Thomas),F,27,183,60,Great Britain,GBR,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 800 metres Freestyle,NA
45966,Sarah Lucy Hardcastle (-Thomas),F,27,183,60,Great Britain,GBR,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 400 metres Individual Medley,NA
45967,"James Edward ""Trey"" Hardee, III",M,24,196,96,United States,USA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Decathlon,NA
45967,"James Edward ""Trey"" Hardee, III",M,28,196,96,United States,USA,2012 Summer,2012,Summer,London,Athletics,Athletics Men's Decathlon,Silver
45968,Christina Hardekopf,F,19,167,60,Argentina,ARG,1960 Summer,1960,Summer,Roma,Diving,Diving Women's Springboard,NA
45969,Karel Jan Hardeman,M,22,NA,NA,Netherlands,NED,1936 Summer,1936,Summer,Berlin,Rowing,Rowing Men's Coxed Pairs,NA
45970,"James Edward Harden, Jr.",M,22,196,100,United States,USA,2012 Summer,2012,Summer,London,Basketball,Basketball Men's Basketball,Gold
45971,Martin G. Harden,M,NA,NA,NA,Austria,AUT,1906 Summer,1906,Summer,Athina,Fencing,"Fencing Men's Foil, Individual",NA
45971,Martin G. Harden,M,NA,NA,NA,Czechoslovakia,TCH,1928 Summer,1928,Summer,Amsterdam,Fencing,"Fencing Men's epee, Team",NA
45972,"Timothy M. ""Tim"" Harden",M,22,178,77,United States,USA,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
45973,Arne Hardenberg,M,24,NA,NA,Denmark,DEN,1998 Winter,1998,Winter,Nagano,Alpine Skiing,Alpine Skiing Men's Slalom,NA
45973,Arne Hardenberg,M,24,NA,NA,Denmark,DEN,1998 Winter,1998,Winter,Nagano,Alpine Skiing,Alpine Skiing Men's Combined,NA
45974,Adolf Harder,M,25,NA,NA,Germany,GER,1952 Summer,1952,Summer,Helsinki,Modern Pentathlon,Modern Pentathlon Men's Individual,NA
45974,Adolf Harder,M,25,NA,NA,Germany,GER,1952 Summer,1952,Summer,Helsinki,Modern Pentathlon,Modern Pentathlon Men's Team,NA
45975,Pernille Harder,F,26,169,64,Denmark-1,DEN,2004 Summer,2004,Summer,Athina,Badminton,Badminton Women's Doubles,NA
45976,Bonar Graeme Hardie,M,23,NA,NA,Johan,GBR,1948 Summer,1948,Summer,London,Sailing,Sailing Mixed 6 metres,NA
45977,Hamish Graeme Hardie,M,19,NA,NA,Johan,GBR,1948 Summer,1948,Summer,London,Sailing,Sailing Mixed 6 metres,NA
45978,Kelly Hardie,F,30,182,80,Australia,AUS,2000 Summer,2000,Summer,Sydney,Softball,Softball Women's Softball,Bronze
45978,Kelly Hardie,F,38,182,80,Australia,AUS,2008 Summer,2008,Summer,Beijing,Softball,Softball Women's Softball,Bronze
45979,Peter Hardie,M,NA,NA,NA,Great Britain,GBR,1948 Summer,1948,Summer,London,Water Polo,Water Polo Men's Water Polo,NA
45980,Marie Hardiman,F,20,168,55,Great Britain,GBR,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 200 metres Breaststroke,NA
45981,"Thomas Joseph ""Tom"" Hardiman",M,25,188,85,United States,USA,1972 Summer,1972,Summer,Munich,Handball,Handball Men's Handball,NA
45982,"William Foster ""Billy"" Hardin",M,22,185,77,United States,USA,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 400 metres Hurdles,NA
45983,Glenn Foster Hardin,M,22,188,75,United States,USA,1932 Summer,1932,Summer,Los Angeles,Athletics,Athletics Men's 400 metres Hurdles,Silver
45983,Glenn Foster Hardin,M,26,188,75,United States,USA,1936 Summer,1936,Summer,Berlin,Athletics,Athletics Men's 400 metres Hurdles,Gold
45984,"Richard Revell ""Dick"" Harding",M,22,NA,NA,Canada,CAN,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's 100 metres,NA
45984,"Richard Revell ""Dick"" Harding",M,22,NA,NA,Canada,CAN,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's 4 x 100 metres Relay,NA
45985,Goodwin Warner Harding,M,27,NA,NA,United States,USA,1948 Winter,1948,Winter,Sankt Moritz,Ice Hockey,Ice Hockey Men's Ice Hockey,NA
45986,Lindsey Marcie Harding,F,32,173,65,Belarus,BLR,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Women's Basketball,NA
45987,Margaret Harding,F,16,173,57,Puerto Rico,PUR,1964 Summer,1964,Summer,Tokyo,Swimming,Swimming Women's 100 metres Freestyle,NA
45987,Margaret Harding,F,16,173,57,Puerto Rico,PUR,1964 Summer,1964,Summer,Tokyo,Swimming,Swimming Women's 100 metres Backstroke,NA
45987,Margaret Harding,F,16,173,57,Puerto Rico,PUR,1964 Summer,1964,Summer,Tokyo,Swimming,Swimming Women's 200 metres Breaststroke,NA
45987,Margaret Harding,F,16,173,57,Puerto Rico,PUR,1964 Summer,1964,Summer,Tokyo,Swimming,Swimming Women's 100 metres Butterfly,NA
45987,Margaret Harding,F,16,173,57,Puerto Rico,PUR,1964 Summer,1964,Summer,Tokyo,Swimming,Swimming Women's 400 metres Individual Medley,NA
45988,Phyllis May Harding (-Turner),F,16,163,NA,Great Britain,GBR,1924 Summer,1924,Summer,Paris,Swimming,Swimming Women's 100 metres Backstroke,Silver
45988,Phyllis May Harding (-Turner),F,20,163,NA,Great Britain,GBR,1928 Summer,1928,Summer,Amsterdam,Swimming,Swimming Women's 100 metres Backstroke,NA
45988,Phyllis May Harding (-Turner),F,24,163,NA,Great Britain,GBR,1932 Summer,1932,Summer,Los Angeles,Swimming,Swimming Women's 100 metres Backstroke,NA
45988,Phyllis May Harding (-Turner),F,28,163,NA,Great Britain,GBR,1936 Summer,1936,Summer,Berlin,Swimming,Swimming Women's 100 metres Backstroke,NA
45989,Sally Harding (-Withers),F,27,170,64,Australia,AUS,1980 Summer,1980,Summer,Moskva,Rowing,Rowing Women's Coxed Fours,NA
45990,Tanya Victoria Harding,F,24,172,72,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Softball,Softball Women's Softball,Bronze
45990,Tanya Victoria Harding,F,28,172,72,Australia,AUS,2000 Summer,2000,Summer,Sydney,Softball,Softball Women's Softball,Bronze
45990,Tanya Victoria Harding,F,32,172,72,Australia,AUS,2004 Summer,2004,Summer,Athina,Softball,Softball Women's Softball,Silver
45990,Tanya Victoria Harding,F,36,172,72,Australia,AUS,2008 Summer,2008,Summer,Beijing,Softball,Softball Women's Softball,Bronze
45991,"Tonya Maxine Harding (-Gillooly, -Smith, -Price)",F,21,155,48,United States,USA,1992 Winter,1992,Winter,Albertville,Figure Skating,Figure Skating Women's Singles,NA
45991,"Tonya Maxine Harding (-Gillooly, -Smith, -Price)",F,23,155,48,United States,USA,1994 Winter,1994,Winter,Lillehammer,Figure Skating,Figure Skating Women's Singles,NA
45992,William Wadley Harding,M,21,NA,NA,United States,USA,1932 Summer,1932,Summer,Los Angeles,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",NA
45993,Laurence Neville Harding-Smith,M,NA,NA,NA,Australia,AUS,1956 Summer,1956,Summer,Melbourne,Fencing,"Fencing Men's epee, Individual",NA
45994,Gary Lee Hardinges,M,30,173,73,Great Britain,GBR,1996 Summer,1996,Summer,Atlanta,Archery,Archery Men's Individual,NA
45995,Jurgis G. Hardingsonas,M,31,NA,NA,Lithuania,LTU,1924 Summer,1924,Summer,Paris,Football,Football Men's Football,NA
45996,"John Roderick Elliott ""Bob"" Hardisty",M,27,NA,NA,Great Britain,GBR,1948 Summer,1948,Summer,London,Football,Football Men's Football,NA
45996,"John Roderick Elliott ""Bob"" Hardisty",M,31,NA,NA,Great Britain,GBR,1952 Summer,1952,Summer,Helsinki,Football,Football Men's Football,NA
45996,"John Roderick Elliott ""Bob"" Hardisty",M,35,NA,NA,Great Britain,GBR,1956 Summer,1956,Summer,Melbourne,Football,Football Men's Football,NA
45997,Mirnawati Hardjolukito,F,18,164,56,Indonesia,INA,1972 Summer,1972,Summer,Munich,Diving,Diving Women's Springboard,NA
