ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
113716,Pietro Speciale,M,43,NA,NA,Italy,ITA,1920 Summer,1920,Summer,Antwerpen,Fencing,"Fencing Men's Foil, Individual",NA
113716,Pietro Speciale,M,43,NA,NA,Italy,ITA,1920 Summer,1920,Summer,Antwerpen,Fencing,"Fencing Men's Foil, Team",Gold
113717,Robert Speck,M,27,NA,NA,Romania,ROU,1936 Summer,1936,Summer,Berlin,Handball,Handball Men's Handball,NA
113718,"Walter Edward ""Walt"" Speck",M,35,NA,NA,United States,USA,1932 Summer,1932,Summer,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",NA
113718,"Walter Edward ""Walt"" Speck",M,35,NA,NA,United States,USA,1932 Summer,1932,Summer,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",NA
113719,Alexander Specker,M,34,NA,NA,Switzerland,SUI,1952 Summer,1952,Summer,Helsinki,Shooting,"Shooting Men's Free Pistol, 50 metres",NA
113720,Roscko Shane Specman,M,27,174,81,South Africa,RSA,2016 Summer,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,Bronze
113721,Laura Spector,F,22,152,50,United States,USA,2010 Winter,2010,Winter,Vancouver,Biathlon,Biathlon Women's 7.5 kilometres Sprint,NA
113721,Laura Spector,F,22,152,50,United States,USA,2010 Winter,2010,Winter,Vancouver,Biathlon,Biathlon Women's 15 kilometres,NA
113721,Laura Spector,F,22,152,50,United States,USA,2010 Winter,2010,Winter,Vancouver,Biathlon,Biathlon Women's 4 x 6 kilometres Relay,NA
113722,"Charles ""Charlie"" Spedding",M,32,173,63,Great Britain,GBR,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's Marathon,Bronze
113722,"Charles ""Charlie"" Spedding",M,36,173,63,Great Britain,GBR,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's Marathon,NA
113723,Jennifer Ann Spediacci,F,26,170,71,Italy,ITA,2004 Summer,2004,Summer,Athina,Softball,Softball Women's Softball,NA
113724,William Grove Speechly,M,21,NA,NA,Great Britain,GBR,1928 Winter,1928,Winter,Sankt Moritz,Ice Hockey,Ice Hockey Men's Ice Hockey,NA
113725,Harold Speed,M,56,NA,NA,Great Britain,GBR,1928 Summer,1928,Summer,Amsterdam,Art Competitions,"Art Competitions Mixed Painting, Paintings",NA
113726,Yolande Speedy,F,31,166,60,South Africa,RSA,2008 Summer,2008,Summer,Beijing,Cycling,"Cycling Women's Mountainbike, Cross-Country",NA
113727,Dieter Speer,M,25,176,68,East Germany,GDR,1968 Winter,1968,Winter,Grenoble,Biathlon,Biathlon Men's 20 kilometres,NA
113727,Dieter Speer,M,25,176,68,East Germany,GDR,1968 Winter,1968,Winter,Grenoble,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,NA
113727,Dieter Speer,M,29,176,68,East Germany,GDR,1972 Winter,1972,Winter,Sapporo,Biathlon,Biathlon Men's 20 kilometres,NA
113727,Dieter Speer,M,29,176,68,East Germany,GDR,1972 Winter,1972,Winter,Sapporo,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,Bronze
113728,Eugene Speicher,M,49,NA,NA,United States,USA,1932 Summer,1932,Summer,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",NA
113729,Hans Speicher,M,23,177,78,West Germany,FRG,1976 Winter,1976,Winter,Innsbruck,Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,NA
113729,Hans Speicher,M,23,177,78,West Germany,FRG,1976 Winter,1976,Winter,Innsbruck,Cross Country Skiing,Cross Country Skiing Men's 30 kilometres,NA
113730,Zoltn Speidl,M,20,NA,NA,Hungary,HUN,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 400 metres,NA
113730,Zoltn Speidl,M,20,NA,NA,Hungary,HUN,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 800 metres,NA
113730,Zoltn Speidl,M,20,NA,NA,Hungary,HUN,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 200 metres Hurdles,NA
113731,J. Speight,M,NA,NA,NA,Great Britain,GBR,1908 Summer,1908,Summer,London,Gymnastics,Gymnastics Men's Team All-Around,NA
113732,Julie Robyn Speight,F,21,171,63,Australia,AUS,1988 Summer,1988,Summer,Seoul,Cycling,Cycling Women's Sprint,NA
113733,Annie Coupe Speirs (-Coombe),F,22,NA,NA,Great Britain,GBR,1912 Summer,1912,Summer,Stockholm,Swimming,Swimming Women's 100 metres Freestyle,NA
113733,Annie Coupe Speirs (-Coombe),F,22,NA,NA,Great Britain,GBR,1912 Summer,1912,Summer,Stockholm,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
113734,Camilla Speirs,F,22,158,60,Ireland,IRL,2012 Summer,2012,Summer,London,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",NA
113734,Camilla Speirs,F,22,158,60,Ireland,IRL,2012 Summer,2012,Summer,London,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",NA
113735,David Speiser,M,25,189,90,Germany,GER,2006 Winter,2006,Winter,Torino,Snowboarding,Snowboarding Men's Boardercross,NA
113735,David Speiser,M,29,189,90,Germany,GER,2010 Winter,2010,Winter,Vancouver,Snowboarding,Snowboarding Men's Boardercross,NA
113736,Rosi Speiser,F,20,168,57,West Germany,FRG,1972 Winter,1972,Winter,Sapporo,Alpine Skiing,Alpine Skiing Women's Downhill,NA
113736,Rosi Speiser,F,20,168,57,West Germany,FRG,1972 Winter,1972,Winter,Sapporo,Alpine Skiing,Alpine Skiing Women's Giant Slalom,NA
113736,Rosi Speiser,F,20,168,57,West Germany,FRG,1972 Winter,1972,Winter,Sapporo,Alpine Skiing,Alpine Skiing Women's Slalom,NA
113737,Ann Spejlsgaard (-Thuesen),F,26,162,60,Denmark,DEN,2004 Summer,2004,Summer,Athina,Shooting,"Shooting Women's Air Rifle, 10 metres",NA
113738,"Laurens ""Lau"" Spel",M,23,NA,NA,Netherlands,NED,1924 Summer,1924,Summer,Paris,Athletics,Athletics Men's 110 metres Hurdles,NA
113738,"Laurens ""Lau"" Spel",M,27,NA,NA,Netherlands,NED,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's 110 metres Hurdles,NA
113739,"Christopher Arthur ""Chris"" Spelius",M,32,193,92,United States,USA,1984 Summer,1984,Summer,Los Angeles,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",NA
113740,Bo Dybdal Spellerberg,M,29,192,93,Denmark,DEN,2008 Summer,2008,Summer,Beijing,Handball,Handball Men's Handball,NA
113740,Bo Dybdal Spellerberg,M,33,192,93,Denmark,DEN,2012 Summer,2012,Summer,London,Handball,Handball Men's Handball,NA
113741,Frank Isaac Spellman,M,25,NA,73,United States,USA,1948 Summer,1948,Summer,London,Weightlifting,Weightlifting Men's Middleweight,Gold
113742,John Franklin Spellman,M,24,NA,NA,United States,USA,1924 Summer,1924,Summer,Paris,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Gold
113743,Ingo Spelly,M,21,184,79,East Germany,GDR,1988 Summer,1988,Summer,Seoul,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Silver
113743,Ingo Spelly,M,25,184,79,Germany,GER,1992 Summer,1992,Summer,Barcelona,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",Silver
113743,Ingo Spelly,M,25,184,79,Germany,GER,1992 Summer,1992,Summer,Barcelona,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Gold
113744,Ruth Sophia Spelmeyer,F,25,173,59,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 400 metres,NA
